geo_value,signal,time_value,value,region
5 TRIAD AREA,pct_ed_visits_influenza,4/18/09,0.16,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,4/18/09,0.05,6 WNC
7 CLT AREA,pct_ed_visits_influenza,4/18/09,0.14,7 CLT AREA
1 NENC,pct_ed_visits_influenza,4/25/09,0.06,1 NENC
2 SENC,pct_ed_visits_influenza,4/25/09,0.13,2 SENC
3 FAY AREA,pct_ed_visits_influenza,4/25/09,0.12,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,4/25/09,0.16,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,4/25/09,0.13,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,4/25/09,0.06,6 WNC
7 CLT AREA,pct_ed_visits_influenza,4/25/09,0.09,7 CLT AREA
1 NENC,pct_ed_visits_influenza,5/2/09,0.24,1 NENC
2 SENC,pct_ed_visits_influenza,5/2/09,0.18,2 SENC
3 FAY AREA,pct_ed_visits_influenza,5/2/09,0.21,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,5/2/09,0.23,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,5/2/09,0.25,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,5/2/09,0.15,6 WNC
7 CLT AREA,pct_ed_visits_influenza,5/2/09,0.21,7 CLT AREA
1 NENC,pct_ed_visits_influenza,5/9/09,0.3,1 NENC
2 SENC,pct_ed_visits_influenza,5/9/09,0.17,2 SENC
3 FAY AREA,pct_ed_visits_influenza,5/9/09,0.17,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,5/9/09,0.15,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,5/9/09,0.14,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,5/9/09,0.07,6 WNC
7 CLT AREA,pct_ed_visits_influenza,5/9/09,0.12,7 CLT AREA
1 NENC,pct_ed_visits_influenza,5/16/09,0.12,1 NENC
2 SENC,pct_ed_visits_influenza,5/16/09,0.13,2 SENC
3 FAY AREA,pct_ed_visits_influenza,5/16/09,0.18,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,5/16/09,0.06,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,5/16/09,0.11,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,5/16/09,0.06,6 WNC
7 CLT AREA,pct_ed_visits_influenza,5/16/09,0.1,7 CLT AREA
1 NENC,pct_ed_visits_influenza,5/23/09,0.02,1 NENC
2 SENC,pct_ed_visits_influenza,5/23/09,0.24,2 SENC
3 FAY AREA,pct_ed_visits_influenza,5/23/09,0.11,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,5/23/09,0.1,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,5/23/09,0.1,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,5/23/09,0.06,6 WNC
7 CLT AREA,pct_ed_visits_influenza,5/23/09,0.15,7 CLT AREA
1 NENC,pct_ed_visits_influenza,5/30/09,0.1,1 NENC
2 SENC,pct_ed_visits_influenza,5/30/09,0.18,2 SENC
3 FAY AREA,pct_ed_visits_influenza,5/30/09,0.1,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,5/30/09,0.07,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,5/30/09,0.06,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,5/30/09,0.01,6 WNC
7 CLT AREA,pct_ed_visits_influenza,5/30/09,0.05,7 CLT AREA
1 NENC,pct_ed_visits_influenza,6/6/09,0.05,1 NENC
2 SENC,pct_ed_visits_influenza,6/6/09,0.25,2 SENC
3 FAY AREA,pct_ed_visits_influenza,6/6/09,0.09,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,6/6/09,0.12,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,6/6/09,0.08,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,6/6/09,0.03,6 WNC
7 CLT AREA,pct_ed_visits_influenza,6/6/09,0.04,7 CLT AREA
1 NENC,pct_ed_visits_influenza,6/13/09,0.05,1 NENC
2 SENC,pct_ed_visits_influenza,6/13/09,0.25,2 SENC
3 FAY AREA,pct_ed_visits_influenza,6/13/09,0.16,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,6/13/09,0.59,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,6/13/09,0.17,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,6/13/09,0.03,6 WNC
7 CLT AREA,pct_ed_visits_influenza,6/13/09,0.04,7 CLT AREA
1 NENC,pct_ed_visits_influenza,6/20/09,0.11,1 NENC
2 SENC,pct_ed_visits_influenza,6/20/09,0.59,2 SENC
3 FAY AREA,pct_ed_visits_influenza,6/20/09,0.23,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,6/20/09,0.48,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,6/20/09,0.23,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,6/20/09,0.05,6 WNC
7 CLT AREA,pct_ed_visits_influenza,6/20/09,0.11,7 CLT AREA
1 NENC,pct_ed_visits_influenza,6/27/09,0.14,1 NENC
2 SENC,pct_ed_visits_influenza,6/27/09,0.32,2 SENC
3 FAY AREA,pct_ed_visits_influenza,6/27/09,0.32,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,6/27/09,0.46,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,6/27/09,0.37,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,6/27/09,0.06,6 WNC
7 CLT AREA,pct_ed_visits_influenza,6/27/09,0.11,7 CLT AREA
1 NENC,pct_ed_visits_influenza,7/4/09,0.24,1 NENC
2 SENC,pct_ed_visits_influenza,7/4/09,0.35,2 SENC
3 FAY AREA,pct_ed_visits_influenza,7/4/09,0.29,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,7/4/09,0.62,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,7/4/09,0.55,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,7/4/09,0.06,6 WNC
7 CLT AREA,pct_ed_visits_influenza,7/4/09,0.08,7 CLT AREA
1 NENC,pct_ed_visits_influenza,7/11/09,0.09,1 NENC
2 SENC,pct_ed_visits_influenza,7/11/09,0.29,2 SENC
3 FAY AREA,pct_ed_visits_influenza,7/11/09,0.4,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,7/11/09,0.4,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,7/11/09,0.46,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,7/11/09,0.05,6 WNC
7 CLT AREA,pct_ed_visits_influenza,7/11/09,0.08,7 CLT AREA
1 NENC,pct_ed_visits_influenza,7/18/09,0.23,1 NENC
2 SENC,pct_ed_visits_influenza,7/18/09,0.2,2 SENC
3 FAY AREA,pct_ed_visits_influenza,7/18/09,0.49,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,7/18/09,0.42,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,7/18/09,0.29,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,7/18/09,0.06,6 WNC
7 CLT AREA,pct_ed_visits_influenza,7/18/09,0.1,7 CLT AREA
1 NENC,pct_ed_visits_influenza,7/25/09,0.16,1 NENC
2 SENC,pct_ed_visits_influenza,7/25/09,0.14,2 SENC
3 FAY AREA,pct_ed_visits_influenza,7/25/09,0.56,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,7/25/09,0.41,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,7/25/09,0.32,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,7/25/09,0.1,6 WNC
7 CLT AREA,pct_ed_visits_influenza,7/25/09,0.12,7 CLT AREA
1 NENC,pct_ed_visits_influenza,8/1/09,0.35,1 NENC
2 SENC,pct_ed_visits_influenza,8/1/09,0.38,2 SENC
3 FAY AREA,pct_ed_visits_influenza,8/1/09,0.83,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,8/1/09,0.58,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,8/1/09,0.31,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,8/1/09,0.19,6 WNC
7 CLT AREA,pct_ed_visits_influenza,8/1/09,0.08,7 CLT AREA
1 NENC,pct_ed_visits_influenza,8/8/09,0.46,1 NENC
2 SENC,pct_ed_visits_influenza,8/8/09,0.33,2 SENC
3 FAY AREA,pct_ed_visits_influenza,8/8/09,0.72,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,8/8/09,0.44,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,8/8/09,0.3,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,8/8/09,0.21,6 WNC
7 CLT AREA,pct_ed_visits_influenza,8/8/09,0.15,7 CLT AREA
1 NENC,pct_ed_visits_influenza,8/15/09,0.26,1 NENC
2 SENC,pct_ed_visits_influenza,8/15/09,0.43,2 SENC
3 FAY AREA,pct_ed_visits_influenza,8/15/09,0.83,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,8/15/09,0.39,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,8/15/09,0.4,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,8/15/09,0.12,6 WNC
7 CLT AREA,pct_ed_visits_influenza,8/15/09,0.19,7 CLT AREA
1 NENC,pct_ed_visits_influenza,8/22/09,0.26,1 NENC
2 SENC,pct_ed_visits_influenza,8/22/09,0.22,2 SENC
3 FAY AREA,pct_ed_visits_influenza,8/22/09,0.4,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,8/22/09,0.5,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,8/22/09,0.34,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,8/22/09,0.05,6 WNC
7 CLT AREA,pct_ed_visits_influenza,8/22/09,0.16,7 CLT AREA
1 NENC,pct_ed_visits_influenza,8/29/09,0.29,1 NENC
2 SENC,pct_ed_visits_influenza,8/29/09,0.45,2 SENC
3 FAY AREA,pct_ed_visits_influenza,8/29/09,0.63,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,8/29/09,0.47,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,8/29/09,0.79,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,8/29/09,0.16,6 WNC
7 CLT AREA,pct_ed_visits_influenza,8/29/09,0.15,7 CLT AREA
1 NENC,pct_ed_visits_influenza,9/5/09,0.87,1 NENC
2 SENC,pct_ed_visits_influenza,9/5/09,0.21,2 SENC
3 FAY AREA,pct_ed_visits_influenza,9/5/09,1.36,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,9/5/09,0.81,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,9/5/09,0.88,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,9/5/09,0.26,6 WNC
7 CLT AREA,pct_ed_visits_influenza,9/5/09,0.46,7 CLT AREA
1 NENC,pct_ed_visits_influenza,9/12/09,1.38,1 NENC
2 SENC,pct_ed_visits_influenza,9/12/09,0.76,2 SENC
3 FAY AREA,pct_ed_visits_influenza,9/12/09,2.35,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,9/12/09,1.47,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,9/12/09,1.54,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,9/12/09,0.56,6 WNC
7 CLT AREA,pct_ed_visits_influenza,9/12/09,0.93,7 CLT AREA
1 NENC,pct_ed_visits_influenza,9/19/09,2.11,1 NENC
2 SENC,pct_ed_visits_influenza,9/19/09,1.04,2 SENC
3 FAY AREA,pct_ed_visits_influenza,9/19/09,3.39,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,9/19/09,1.95,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,9/19/09,1.9,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,9/19/09,0.95,6 WNC
7 CLT AREA,pct_ed_visits_influenza,9/19/09,1.37,7 CLT AREA
1 NENC,pct_ed_visits_influenza,9/26/09,2.47,1 NENC
2 SENC,pct_ed_visits_influenza,9/26/09,1.4,2 SENC
3 FAY AREA,pct_ed_visits_influenza,9/26/09,4.27,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,9/26/09,2.69,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,9/26/09,2.51,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,9/26/09,1.66,6 WNC
7 CLT AREA,pct_ed_visits_influenza,9/26/09,2.24,7 CLT AREA
1 NENC,pct_ed_visits_influenza,10/3/09,3.41,1 NENC
2 SENC,pct_ed_visits_influenza,10/3/09,2.81,2 SENC
3 FAY AREA,pct_ed_visits_influenza,10/3/09,4.32,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,10/3/09,3.43,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,10/3/09,4.04,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,10/3/09,2.65,6 WNC
7 CLT AREA,pct_ed_visits_influenza,10/3/09,3.01,7 CLT AREA
1 NENC,pct_ed_visits_influenza,10/10/09,3.47,1 NENC
2 SENC,pct_ed_visits_influenza,10/10/09,3.31,2 SENC
3 FAY AREA,pct_ed_visits_influenza,10/10/09,4.43,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,10/10/09,3.83,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,10/10/09,4.88,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,10/10/09,3.61,6 WNC
7 CLT AREA,pct_ed_visits_influenza,10/10/09,3.46,7 CLT AREA
1 NENC,pct_ed_visits_influenza,10/17/09,3.38,1 NENC
2 SENC,pct_ed_visits_influenza,10/17/09,3.67,2 SENC
3 FAY AREA,pct_ed_visits_influenza,10/17/09,3.68,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,10/17/09,3.95,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,10/17/09,4.84,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,10/17/09,3.94,6 WNC
7 CLT AREA,pct_ed_visits_influenza,10/17/09,3.31,7 CLT AREA
1 NENC,pct_ed_visits_influenza,10/24/09,3.84,1 NENC
2 SENC,pct_ed_visits_influenza,10/24/09,3.57,2 SENC
3 FAY AREA,pct_ed_visits_influenza,10/24/09,4.13,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,10/24/09,5.27,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,10/24/09,4.68,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,10/24/09,4.4,6 WNC
7 CLT AREA,pct_ed_visits_influenza,10/24/09,3.63,7 CLT AREA
1 NENC,pct_ed_visits_influenza,10/31/09,2.71,1 NENC
2 SENC,pct_ed_visits_influenza,10/31/09,2.97,2 SENC
3 FAY AREA,pct_ed_visits_influenza,10/31/09,3,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,10/31/09,3.89,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,10/31/09,3.81,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,10/31/09,3.12,6 WNC
7 CLT AREA,pct_ed_visits_influenza,10/31/09,2.88,7 CLT AREA
1 NENC,pct_ed_visits_influenza,11/7/09,2.24,1 NENC
2 SENC,pct_ed_visits_influenza,11/7/09,2.56,2 SENC
3 FAY AREA,pct_ed_visits_influenza,11/7/09,1.98,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,11/7/09,2.92,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,11/7/09,2.77,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,11/7/09,2.29,6 WNC
7 CLT AREA,pct_ed_visits_influenza,11/7/09,2.48,7 CLT AREA
1 NENC,pct_ed_visits_influenza,11/14/09,1.69,1 NENC
2 SENC,pct_ed_visits_influenza,11/14/09,1.37,2 SENC
3 FAY AREA,pct_ed_visits_influenza,11/14/09,1.66,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,11/14/09,2.07,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,11/14/09,1.9,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,11/14/09,1.59,6 WNC
7 CLT AREA,pct_ed_visits_influenza,11/14/09,1.64,7 CLT AREA
1 NENC,pct_ed_visits_influenza,11/21/09,0.76,1 NENC
2 SENC,pct_ed_visits_influenza,11/21/09,0.79,2 SENC
3 FAY AREA,pct_ed_visits_influenza,11/21/09,1.19,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,11/21/09,1.46,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,11/21/09,1.53,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,11/21/09,0.94,6 WNC
7 CLT AREA,pct_ed_visits_influenza,11/21/09,1.17,7 CLT AREA
1 NENC,pct_ed_visits_influenza,11/28/09,0.76,1 NENC
2 SENC,pct_ed_visits_influenza,11/28/09,0.75,2 SENC
3 FAY AREA,pct_ed_visits_influenza,11/28/09,0.76,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,11/28/09,1.22,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,11/28/09,0.8,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,11/28/09,0.54,6 WNC
7 CLT AREA,pct_ed_visits_influenza,11/28/09,0.79,7 CLT AREA
1 NENC,pct_ed_visits_influenza,12/5/09,0.57,1 NENC
2 SENC,pct_ed_visits_influenza,12/5/09,0.53,2 SENC
3 FAY AREA,pct_ed_visits_influenza,12/5/09,0.63,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,12/5/09,0.98,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,12/5/09,0.78,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,12/5/09,0.49,6 WNC
7 CLT AREA,pct_ed_visits_influenza,12/5/09,0.75,7 CLT AREA
1 NENC,pct_ed_visits_influenza,12/12/09,0.53,1 NENC
2 SENC,pct_ed_visits_influenza,12/12/09,0.4,2 SENC
3 FAY AREA,pct_ed_visits_influenza,12/12/09,0.64,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,12/12/09,0.71,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,12/12/09,0.48,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,12/12/09,0.43,6 WNC
7 CLT AREA,pct_ed_visits_influenza,12/12/09,0.41,7 CLT AREA
1 NENC,pct_ed_visits_influenza,12/19/09,0.52,1 NENC
2 SENC,pct_ed_visits_influenza,12/19/09,0.27,2 SENC
3 FAY AREA,pct_ed_visits_influenza,12/19/09,0.41,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,12/19/09,0.59,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,12/19/09,0.43,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,12/19/09,0.3,6 WNC
7 CLT AREA,pct_ed_visits_influenza,12/19/09,0.34,7 CLT AREA
1 NENC,pct_ed_visits_influenza,12/26/09,0.59,1 NENC
2 SENC,pct_ed_visits_influenza,12/26/09,0.3,2 SENC
3 FAY AREA,pct_ed_visits_influenza,12/26/09,0.36,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,12/26/09,0.7,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,12/26/09,0.42,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,12/26/09,0.24,6 WNC
7 CLT AREA,pct_ed_visits_influenza,12/26/09,0.37,7 CLT AREA
1 NENC,pct_ed_visits_influenza,1/2/10,0.53,1 NENC
