"geo_value","signal","time_value","value","county"
"48141","pct_ed_visits_influenza",2023-02-05,0.61,"El Paso County"
"48201","pct_ed_visits_influenza",2023-02-05,0.58,"Harris County"
"48453","pct_ed_visits_influenza",2023-02-05,0.43,"Travis County"
"48029","pct_ed_visits_influenza",2023-02-12,0.42,"Bexar County"
"48113","pct_ed_visits_influenza",2023-02-12,0.46,"Dallas County"
"48141","pct_ed_visits_influenza",2023-02-12,0.43,"El Paso County"
"48201","pct_ed_visits_influenza",2023-02-12,0.42,"Harris County"
"48453","pct_ed_visits_influenza",2023-02-12,0.46,"Travis County"
"48029","pct_ed_visits_influenza",2023-02-19,0.53,"Bexar County"
"48113","pct_ed_visits_influenza",2023-02-19,0.41,"Dallas County"
"48141","pct_ed_visits_influenza",2023-02-19,0.5,"El Paso County"
"48201","pct_ed_visits_influenza",2023-02-19,0.44,"Harris County"
"48453","pct_ed_visits_influenza",2023-02-19,0.47,"Travis County"
"48029","pct_ed_visits_influenza",2023-02-26,0.48,"Bexar County"
"48113","pct_ed_visits_influenza",2023-02-26,0.33,"Dallas County"
"48141","pct_ed_visits_influenza",2023-02-26,0.27,"El Paso County"
"48201","pct_ed_visits_influenza",2023-02-26,0.25,"Harris County"
"48453","pct_ed_visits_influenza",2023-02-26,0.46,"Travis County"
"48029","pct_ed_visits_influenza",2023-03-05,0.32,"Bexar County"
"48113","pct_ed_visits_influenza",2023-03-05,0.28,"Dallas County"
"48141","pct_ed_visits_influenza",2023-03-05,0.44,"El Paso County"
"48201","pct_ed_visits_influenza",2023-03-05,0.26,"Harris County"
"48453","pct_ed_visits_influenza",2023-03-05,0.38,"Travis County"
"48029","pct_ed_visits_influenza",2023-03-12,0.15,"Bexar County"
"48113","pct_ed_visits_influenza",2023-03-12,0.33,"Dallas County"
"48141","pct_ed_visits_influenza",2023-03-12,0.36,"El Paso County"
"48201","pct_ed_visits_influenza",2023-03-12,0.27,"Harris County"
"48453","pct_ed_visits_influenza",2023-03-12,0.29,"Travis County"
"48029","pct_ed_visits_influenza",2023-03-19,0.19,"Bexar County"
"48113","pct_ed_visits_influenza",2023-03-19,0.34,"Dallas County"
"48141","pct_ed_visits_influenza",2023-03-19,0.45,"El Paso County"
"48201","pct_ed_visits_influenza",2023-03-19,0.23,"Harris County"
"48453","pct_ed_visits_influenza",2023-03-19,0.32,"Travis County"
"48029","pct_ed_visits_influenza",2023-03-26,0.14,"Bexar County"
"48113","pct_ed_visits_influenza",2023-03-26,0.24,"Dallas County"
"48141","pct_ed_visits_influenza",2023-03-26,0.33,"El Paso County"
"48201","pct_ed_visits_influenza",2023-03-26,0.24,"Harris County"
"48453","pct_ed_visits_influenza",2023-03-26,0.35,"Travis County"
"48029","pct_ed_visits_influenza",2023-04-02,0.13,"Bexar County"
"48113","pct_ed_visits_influenza",2023-04-02,0.23,"Dallas County"
"48141","pct_ed_visits_influenza",2023-04-02,0.48,"El Paso County"
"48201","pct_ed_visits_influenza",2023-04-02,0.23,"Harris County"
"48453","pct_ed_visits_influenza",2023-04-02,0.45,"Travis County"
"48029","pct_ed_visits_influenza",2023-04-09,0.19,"Bexar County"
"48113","pct_ed_visits_influenza",2023-04-09,0.27,"Dallas County"
"48141","pct_ed_visits_influenza",2023-04-09,0.46,"El Paso County"
"48201","pct_ed_visits_influenza",2023-04-09,0.2,"Harris County"
"48453","pct_ed_visits_influenza",2023-04-09,0.37,"Travis County"
"48029","pct_ed_visits_influenza",2023-04-16,0.19,"Bexar County"
"48113","pct_ed_visits_influenza",2023-04-16,0.3,"Dallas County"
"48141","pct_ed_visits_influenza",2023-04-16,0.71,"El Paso County"
"48201","pct_ed_visits_influenza",2023-04-16,0.17,"Harris County"
"48453","pct_ed_visits_influenza",2023-04-16,0.37,"Travis County"
"48029","pct_ed_visits_influenza",2023-04-23,0.12,"Bexar County"
"48113","pct_ed_visits_influenza",2023-04-23,0.34,"Dallas County"
"48141","pct_ed_visits_influenza",2023-04-23,1.05,"El Paso County"
"48201","pct_ed_visits_influenza",2023-04-23,0.22,"Harris County"
"48453","pct_ed_visits_influenza",2023-04-23,0.32,"Travis County"
"48029","pct_ed_visits_influenza",2023-04-30,0.14,"Bexar County"
"48113","pct_ed_visits_influenza",2023-04-30,0.24,"Dallas County"
"48141","pct_ed_visits_influenza",2023-04-30,0.99,"El Paso County"
"48201","pct_ed_visits_influenza",2023-04-30,0.15,"Harris County"
"48453","pct_ed_visits_influenza",2023-04-30,0.39,"Travis County"
"48029","pct_ed_visits_influenza",2023-05-07,0.12,"Bexar County"
"48113","pct_ed_visits_influenza",2023-05-07,0.28,"Dallas County"
"48141","pct_ed_visits_influenza",2023-05-07,1.07,"El Paso County"
"48201","pct_ed_visits_influenza",2023-05-07,0.17,"Harris County"
"48453","pct_ed_visits_influenza",2023-05-07,0.33,"Travis County"
"48029","pct_ed_visits_influenza",2023-05-14,0.18,"Bexar County"
"48113","pct_ed_visits_influenza",2023-05-14,0.25,"Dallas County"
"48141","pct_ed_visits_influenza",2023-05-14,1.15,"El Paso County"
"48201","pct_ed_visits_influenza",2023-05-14,0.21,"Harris County"
"48453","pct_ed_visits_influenza",2023-05-14,0.2,"Travis County"
"48029","pct_ed_visits_influenza",2023-05-21,0.13,"Bexar County"
"48113","pct_ed_visits_influenza",2023-05-21,0.28,"Dallas County"
"48141","pct_ed_visits_influenza",2023-05-21,0.71,"El Paso County"
"48201","pct_ed_visits_influenza",2023-05-21,0.17,"Harris County"
"48453","pct_ed_visits_influenza",2023-05-21,0.2,"Travis County"
"48029","pct_ed_visits_influenza",2023-05-28,0.19,"Bexar County"
"48113","pct_ed_visits_influenza",2023-05-28,0.27,"Dallas County"
"48141","pct_ed_visits_influenza",2023-05-28,0.51,"El Paso County"
"48201","pct_ed_visits_influenza",2023-05-28,0.21,"Harris County"
"48453","pct_ed_visits_influenza",2023-05-28,0.32,"Travis County"
"48029","pct_ed_visits_influenza",2023-06-04,0.08,"Bexar County"
"48113","pct_ed_visits_influenza",2023-06-04,0.21,"Dallas County"
"48141","pct_ed_visits_influenza",2023-06-04,0.56,"El Paso County"
"48201","pct_ed_visits_influenza",2023-06-04,0.2,"Harris County"
"48453","pct_ed_visits_influenza",2023-06-04,0.29,"Travis County"
"48029","pct_ed_visits_influenza",2023-06-11,0.07,"Bexar County"
"48113","pct_ed_visits_influenza",2023-06-11,0.2,"Dallas County"
"48141","pct_ed_visits_influenza",2023-06-11,0.52,"El Paso County"
"48201","pct_ed_visits_influenza",2023-06-11,0.14,"Harris County"
"48453","pct_ed_visits_influenza",2023-06-11,0.23,"Travis County"
"48029","pct_ed_visits_influenza",2023-06-18,0.09,"Bexar County"
"48113","pct_ed_visits_influenza",2023-06-18,0.18,"Dallas County"
"48141","pct_ed_visits_influenza",2023-06-18,0.4,"El Paso County"
"48201","pct_ed_visits_influenza",2023-06-18,0.14,"Harris County"
"48453","pct_ed_visits_influenza",2023-06-18,0.2,"Travis County"
"48029","pct_ed_visits_influenza",2023-06-25,0.1,"Bexar County"
"48113","pct_ed_visits_influenza",2023-06-25,0.16,"Dallas County"
"48141","pct_ed_visits_influenza",2023-06-25,0.28,"El Paso County"
"48201","pct_ed_visits_influenza",2023-06-25,0.15,"Harris County"
"48453","pct_ed_visits_influenza",2023-06-25,0.2,"Travis County"
"48029","pct_ed_visits_influenza",2023-07-02,0.12,"Bexar County"
"48113","pct_ed_visits_influenza",2023-07-02,0.17,"Dallas County"
"48141","pct_ed_visits_influenza",2023-07-02,0.25,"El Paso County"
"48201","pct_ed_visits_influenza",2023-07-02,0.1,"Harris County"
"48453","pct_ed_visits_influenza",2023-07-02,0.26,"Travis County"
"48029","pct_ed_visits_influenza",2023-07-09,0.07,"Bexar County"
"48113","pct_ed_visits_influenza",2023-07-09,0.2,"Dallas County"
"48141","pct_ed_visits_influenza",2023-07-09,0.35,"El Paso County"
"48201","pct_ed_visits_influenza",2023-07-09,0.16,"Harris County"
"48453","pct_ed_visits_influenza",2023-07-09,0.31,"Travis County"
"48029","pct_ed_visits_influenza",2023-07-16,0.08,"Bexar County"
"48113","pct_ed_visits_influenza",2023-07-16,0.15,"Dallas County"
"48141","pct_ed_visits_influenza",2023-07-16,0.23,"El Paso County"
"48201","pct_ed_visits_influenza",2023-07-16,0.14,"Harris County"
"48453","pct_ed_visits_influenza",2023-07-16,0.24,"Travis County"
"48029","pct_ed_visits_influenza",2023-07-23,0.12,"Bexar County"
"48113","pct_ed_visits_influenza",2023-07-23,0.18,"Dallas County"
"48141","pct_ed_visits_influenza",2023-07-23,0.26,"El Paso County"
"48201","pct_ed_visits_influenza",2023-07-23,0.16,"Harris County"
"48453","pct_ed_visits_influenza",2023-07-23,0.17,"Travis County"
"48029","pct_ed_visits_influenza",2023-07-30,0.13,"Bexar County"
"48113","pct_ed_visits_influenza",2023-07-30,0.14,"Dallas County"
"48141","pct_ed_visits_influenza",2023-07-30,0.29,"El Paso County"
"48201","pct_ed_visits_influenza",2023-07-30,0.13,"Harris County"
"48453","pct_ed_visits_influenza",2023-07-30,0.24,"Travis County"
"48029","pct_ed_visits_influenza",2023-08-06,0.1,"Bexar County"
"48113","pct_ed_visits_influenza",2023-08-06,0.2,"Dallas County"
"48141","pct_ed_visits_influenza",2023-08-06,0.26,"El Paso County"
"48201","pct_ed_visits_influenza",2023-08-06,0.17,"Harris County"
"48453","pct_ed_visits_influenza",2023-08-06,0.31,"Travis County"
"48029","pct_ed_visits_influenza",2023-08-13,0.09,"Bexar County"
"48113","pct_ed_visits_influenza",2023-08-13,0.18,"Dallas County"
"48141","pct_ed_visits_influenza",2023-08-13,0.38,"El Paso County"
"48201","pct_ed_visits_influenza",2023-08-13,0.15,"Harris County"
"48453","pct_ed_visits_influenza",2023-08-13,0.21,"Travis County"
"48029","pct_ed_visits_influenza",2023-08-20,0.14,"Bexar County"
"48113","pct_ed_visits_influenza",2023-08-20,0.21,"Dallas County"
"48141","pct_ed_visits_influenza",2023-08-20,0.41,"El Paso County"
"48201","pct_ed_visits_influenza",2023-08-20,0.23,"Harris County"
"48453","pct_ed_visits_influenza",2023-08-20,0.37,"Travis County"
"48029","pct_ed_visits_influenza",2023-08-27,0.29,"Bexar County"
"48113","pct_ed_visits_influenza",2023-08-27,0.33,"Dallas County"
"48141","pct_ed_visits_influenza",2023-08-27,0.56,"El Paso County"
"48201","pct_ed_visits_influenza",2023-08-27,0.23,"Harris County"
"48453","pct_ed_visits_influenza",2023-08-27,0.49,"Travis County"
"48029","pct_ed_visits_influenza",2023-09-03,0.11,"Bexar County"
"48113","pct_ed_visits_influenza",2023-09-03,0.28,"Dallas County"
"48141","pct_ed_visits_influenza",2023-09-03,0.47,"El Paso County"
"48201","pct_ed_visits_influenza",2023-09-03,0.23,"Harris County"
"48453","pct_ed_visits_influenza",2023-09-03,0.41,"Travis County"
"48029","pct_ed_visits_influenza",2023-09-10,0.13,"Bexar County"
"48113","pct_ed_visits_influenza",2023-09-10,0.28,"Dallas County"
"48141","pct_ed_visits_influenza",2023-09-10,0.45,"El Paso County"
"48201","pct_ed_visits_influenza",2023-09-10,0.26,"Harris County"
"48453","pct_ed_visits_influenza",2023-09-10,0.41,"Travis County"
"48029","pct_ed_visits_influenza",2023-09-17,0.15,"Bexar County"
"48113","pct_ed_visits_influenza",2023-09-17,0.34,"Dallas County"
"48141","pct_ed_visits_influenza",2023-09-17,0.43,"El Paso County"
"48201","pct_ed_visits_influenza",2023-09-17,0.35,"Harris County"
"48453","pct_ed_visits_influenza",2023-09-17,0.3,"Travis County"
"48029","pct_ed_visits_influenza",2023-09-24,0.13,"Bexar County"
"48113","pct_ed_visits_influenza",2023-09-24,0.33,"Dallas County"
"48141","pct_ed_visits_influenza",2023-09-24,0.41,"El Paso County"
"48201","pct_ed_visits_influenza",2023-09-24,0.41,"Harris County"
"48453","pct_ed_visits_influenza",2023-09-24,0.45,"Travis County"
"48029","pct_ed_visits_influenza",2023-10-01,0.24,"Bexar County"
"48113","pct_ed_visits_influenza",2023-10-01,0.3,"Dallas County"
"48141","pct_ed_visits_influenza",2023-10-01,0.53,"El Paso County"
"48201","pct_ed_visits_influenza",2023-10-01,0.53,"Harris County"
"48453","pct_ed_visits_influenza",2023-10-01,0.61,"Travis County"
"48029","pct_ed_visits_influenza",2023-10-08,0.24,"Bexar County"
"48113","pct_ed_visits_influenza",2023-10-08,0.45,"Dallas County"
"48141","pct_ed_visits_influenza",2023-10-08,0.36,"El Paso County"
"48201","pct_ed_visits_influenza",2023-10-08,0.72,"Harris County"
"48453","pct_ed_visits_influenza",2023-10-08,0.48,"Travis County"
"48029","pct_ed_visits_influenza",2023-10-15,0.29,"Bexar County"
"48113","pct_ed_visits_influenza",2023-10-15,0.44,"Dallas County"
"48141","pct_ed_visits_influenza",2023-10-15,0.51,"El Paso County"
"48201","pct_ed_visits_influenza",2023-10-15,0.82,"Harris County"
"48453","pct_ed_visits_influenza",2023-10-15,0.69,"Travis County"
"48029","pct_ed_visits_influenza",2023-10-22,0.49,"Bexar County"
"48113","pct_ed_visits_influenza",2023-10-22,0.6,"Dallas County"
"48141","pct_ed_visits_influenza",2023-10-22,0.71,"El Paso County"
"48201","pct_ed_visits_influenza",2023-10-22,1.15,"Harris County"
"48453","pct_ed_visits_influenza",2023-10-22,0.71,"Travis County"
"48029","pct_ed_visits_influenza",2023-10-29,0.71,"Bexar County"
"48113","pct_ed_visits_influenza",2023-10-29,0.67,"Dallas County"
"48141","pct_ed_visits_influenza",2023-10-29,0.71,"El Paso County"
"48201","pct_ed_visits_influenza",2023-10-29,1.77,"Harris County"
"48453","pct_ed_visits_influenza",2023-10-29,0.69,"Travis County"
"48029","pct_ed_visits_influenza",2023-11-05,0.81,"Bexar County"
"48113","pct_ed_visits_influenza",2023-11-05,0.81,"Dallas County"
"48141","pct_ed_visits_influenza",2023-11-05,1.08,"El Paso County"
"48201","pct_ed_visits_influenza",2023-11-05,2.82,"Harris County"
"48453","pct_ed_visits_influenza",2023-11-05,1.15,"Travis County"
"48029","pct_ed_visits_influenza",2023-11-12,1.15,"Bexar County"
"48113","pct_ed_visits_influenza",2023-11-12,0.94,"Dallas County"
"48141","pct_ed_visits_influenza",2023-11-12,1.61,"El Paso County"
"48201","pct_ed_visits_influenza",2023-11-12,3.5,"Harris County"
"48453","pct_ed_visits_influenza",2023-11-12,1.27,"Travis County"
"48029","pct_ed_visits_influenza",2023-11-19,1.36,"Bexar County"
"48113","pct_ed_visits_influenza",2023-11-19,1.18,"Dallas County"
"48141","pct_ed_visits_influenza",2023-11-19,1.46,"El Paso County"
"48201","pct_ed_visits_influenza",2023-11-19,3.95,"Harris County"
"48453","pct_ed_visits_influenza",2023-11-19,1.3,"Travis County"
"48029","pct_ed_visits_influenza",2023-11-26,1.78,"Bexar County"
"48113","pct_ed_visits_influenza",2023-11-26,1.34,"Dallas County"
"48141","pct_ed_visits_influenza",2023-11-26,1.92,"El Paso County"
"48201","pct_ed_visits_influenza",2023-11-26,3.93,"Harris County"
"48453","pct_ed_visits_influenza",2023-11-26,1.64,"Travis County"
"48029","pct_ed_visits_influenza",2023-12-03,2.86,"Bexar County"
"48113","pct_ed_visits_influenza",2023-12-03,2.21,"Dallas County"
"48141","pct_ed_visits_influenza",2023-12-03,4.66,"El Paso County"
"48201","pct_ed_visits_influenza",2023-12-03,4.89,"Harris County"
"48453","pct_ed_visits_influenza",2023-12-03,2.58,"Travis County"
"48029","pct_ed_visits_influenza",2023-12-10,3.94,"Bexar County"
"48113","pct_ed_visits_influenza",2023-12-10,3.39,"Dallas County"
"48141","pct_ed_visits_influenza",2023-12-10,9.99,"El Paso County"
"48201","pct_ed_visits_influenza",2023-12-10,5.78,"Harris County"
"48453","pct_ed_visits_influenza",2023-12-10,3.78,"Travis County"
"48029","pct_ed_visits_influenza",2023-12-17,5.76,"Bexar County"
"48113","pct_ed_visits_influenza",2023-12-17,5.58,"Dallas County"
"48141","pct_ed_visits_influenza",2023-12-17,12.2,"El Paso County"
"48201","pct_ed_visits_influenza",2023-12-17,6.61,"Harris County"
"48453","pct_ed_visits_influenza",2023-12-17,4.68,"Travis County"
"48029","pct_ed_visits_influenza",2023-12-24,5.51,"Bexar County"
"48113","pct_ed_visits_influenza",2023-12-24,6.03,"Dallas County"
"48141","pct_ed_visits_influenza",2023-12-24,9.53,"El Paso County"
"48201","pct_ed_visits_influenza",2023-12-24,5.35,"Harris County"
"48453","pct_ed_visits_influenza",2023-12-24,4.08,"Travis County"
"48029","pct_ed_visits_influenza",2023-12-31,5.21,"Bexar County"
"48113","pct_ed_visits_influenza",2023-12-31,5.74,"Dallas County"
"48141","pct_ed_visits_influenza",2023-12-31,6.12,"El Paso County"
"48201","pct_ed_visits_influenza",2023-12-31,4.49,"Harris County"
"48453","pct_ed_visits_influenza",2023-12-31,4.04,"Travis County"
"48029","pct_ed_visits_influenza",2024-01-07,5.2,"Bexar County"
"48113","pct_ed_visits_influenza",2024-01-07,4.64,"Dallas County"
"48141","pct_ed_visits_influenza",2024-01-07,4.32,"El Paso County"
"48201","pct_ed_visits_influenza",2024-01-07,3.23,"Harris County"
"48453","pct_ed_visits_influenza",2024-01-07,3.65,"Travis County"
"48029","pct_ed_visits_influenza",2024-01-14,6.65,"Bexar County"
"48113","pct_ed_visits_influenza",2024-01-14,5.85,"Dallas County"
"48141","pct_ed_visits_influenza",2024-01-14,3.12,"El Paso County"
"48201","pct_ed_visits_influenza",2024-01-14,2.92,"Harris County"
"48453","pct_ed_visits_influenza",2024-01-14,4.22,"Travis County"
"48029","pct_ed_visits_influenza",2024-01-21,8.17,"Bexar County"
"48113","pct_ed_visits_influenza",2024-01-21,7.76,"Dallas County"
"48141","pct_ed_visits_influenza",2024-01-21,3.59,"El Paso County"
"48201","pct_ed_visits_influenza",2024-01-21,3.03,"Harris County"
"48453","pct_ed_visits_influenza",2024-01-21,5.07,"Travis County"
"48029","pct_ed_visits_influenza",2024-01-28,7.97,"Bexar County"
"48113","pct_ed_visits_influenza",2024-01-28,7.64,"Dallas County"
"48141","pct_ed_visits_influenza",2024-01-28,3.4,"El Paso County"
"48201","pct_ed_visits_influenza",2024-01-28,2.73,"Harris County"
"48453","pct_ed_visits_influenza",2024-01-28,5.69,"Travis County"
"48029","pct_ed_visits_influenza",2024-02-04,6.15,"Bexar County"
"48113","pct_ed_visits_influenza",2024-02-04,6,"Dallas County"
"48141","pct_ed_visits_influenza",2024-02-04,3.42,"El Paso County"
"48201","pct_ed_visits_influenza",2024-02-04,2.27,"Harris County"
"48453","pct_ed_visits_influenza",2024-02-04,4.45,"Travis County"
"48029","pct_ed_visits_influenza",2024-02-11,4.21,"Bexar County"
"48113","pct_ed_visits_influenza",2024-02-11,4.32,"Dallas County"
"48141","pct_ed_visits_influenza",2024-02-11,4.04,"El Paso County"
"48201","pct_ed_visits_influenza",2024-02-11,1.71,"Harris County"
"48453","pct_ed_visits_influenza",2024-02-11,3.24,"Travis County"
"48029","pct_ed_visits_influenza",2024-02-18,3.22,"Bexar County"
"48113","pct_ed_visits_influenza",2024-02-18,3.58,"Dallas County"
"48141","pct_ed_visits_influenza",2024-02-18,4.75,"El Paso County"
"48201","pct_ed_visits_influenza",2024-02-18,1.54,"Harris County"
"48453","pct_ed_visits_influenza",2024-02-18,2.7,"Travis County"
"48029","pct_ed_visits_influenza",2024-02-25,2.38,"Bexar County"
"48113","pct_ed_visits_influenza",2024-02-25,2.31,"Dallas County"
"48141","pct_ed_visits_influenza",2024-02-25,4.35,"El Paso County"
"48201","pct_ed_visits_influenza",2024-02-25,1.32,"Harris County"
"48453","pct_ed_visits_influenza",2024-02-25,1.72,"Travis County"
"48029","pct_ed_visits_influenza",2024-03-03,2,"Bexar County"
"48113","pct_ed_visits_influenza",2024-03-03,1.75,"Dallas County"
"48141","pct_ed_visits_influenza",2024-03-03,3.37,"El Paso County"
"48201","pct_ed_visits_influenza",2024-03-03,1.17,"Harris County"
"48453","pct_ed_visits_influenza",2024-03-03,1.48,"Travis County"
"48029","pct_ed_visits_influenza",2024-03-10,1.14,"Bexar County"
"48113","pct_ed_visits_influenza",2024-03-10,1.21,"Dallas County"
"48141","pct_ed_visits_influenza",2024-03-10,2.64,"El Paso County"
"48201","pct_ed_visits_influenza",2024-03-10,1.02,"Harris County"
"48453","pct_ed_visits_influenza",2024-03-10,1.14,"Travis County"
"48029","pct_ed_visits_influenza",2024-03-17,0.88,"Bexar County"
"48113","pct_ed_visits_influenza",2024-03-17,0.89,"Dallas County"
"48141","pct_ed_visits_influenza",2024-03-17,1.98,"El Paso County"
"48201","pct_ed_visits_influenza",2024-03-17,0.73,"Harris County"
"48453","pct_ed_visits_influenza",2024-03-17,0.77,"Travis County"
"48029","pct_ed_visits_influenza",2024-03-24,0.62,"Bexar County"
"48113","pct_ed_visits_influenza",2024-03-24,0.87,"Dallas County"
