geo_value,signal,time_value,value,region,,
3 FAY AREA,pct_ed_visits_influenza,3/7/2009,2.28,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,3/7/2009,1.15,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,3/7/2009,0.93,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,3/7/2009,1.31,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,3/7/2009,1.1,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,3/14/2009,1.19,1 NENC,,
2 SENC,pct_ed_visits_influenza,3/14/2009,1.1,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,3/14/2009,2.18,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,3/14/2009,1.08,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,3/14/2009,0.56,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,3/14/2009,1.12,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,3/14/2009,0.86,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,3/21/2009,0.91,1 NENC,,
2 SENC,pct_ed_visits_influenza,3/21/2009,0.84,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,3/21/2009,1.7,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,3/21/2009,0.99,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,3/21/2009,0.31,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,3/21/2009,0.6,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,3/21/2009,0.7,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,3/28/2009,0.73,1 NENC,,
2 SENC,pct_ed_visits_influenza,3/28/2009,0.53,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,3/28/2009,1.33,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,3/28/2009,0.67,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,3/28/2009,0.27,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,3/28/2009,0.35,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,3/28/2009,0.57,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,4/4/2009,0.65,1 NENC,,
2 SENC,pct_ed_visits_influenza,4/4/2009,0.36,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,4/4/2009,0.81,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,4/4/2009,0.4,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,4/4/2009,0.28,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,4/4/2009,0.25,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,4/4/2009,0.43,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,4/11/2009,0.23,1 NENC,,
2 SENC,pct_ed_visits_influenza,4/11/2009,0.28,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,4/11/2009,0.4,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,4/11/2009,0.32,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,4/11/2009,0.2,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,4/11/2009,0.1,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,4/11/2009,0.27,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,4/18/2009,0.1,1 NENC,,
2 SENC,pct_ed_visits_influenza,4/18/2009,0.12,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,4/18/2009,0.25,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,4/18/2009,0.19,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,4/18/2009,0.16,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,4/18/2009,0.05,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,4/18/2009,0.14,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,4/25/2009,0.06,1 NENC,,
2 SENC,pct_ed_visits_influenza,4/25/2009,0.13,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,4/25/2009,0.12,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,4/25/2009,0.16,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,4/25/2009,0.13,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,4/25/2009,0.06,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,4/25/2009,0.09,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,5/2/2009,0.24,1 NENC,,
2 SENC,pct_ed_visits_influenza,5/2/2009,0.18,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,5/2/2009,0.21,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,5/2/2009,0.23,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,5/2/2009,0.25,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,5/2/2009,0.15,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,5/2/2009,0.21,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,5/9/2009,0.3,1 NENC,,
2 SENC,pct_ed_visits_influenza,5/9/2009,0.17,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,5/9/2009,0.17,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,5/9/2009,0.15,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,5/9/2009,0.14,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,5/9/2009,0.07,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,5/9/2009,0.12,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,5/16/2009,0.12,1 NENC,,
2 SENC,pct_ed_visits_influenza,5/16/2009,0.13,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,5/16/2009,0.18,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,5/16/2009,0.06,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,5/16/2009,0.11,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,5/16/2009,0.06,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,5/16/2009,0.1,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,5/23/2009,0.02,1 NENC,,
2 SENC,pct_ed_visits_influenza,5/23/2009,0.24,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,5/23/2009,0.11,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,5/23/2009,0.1,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,5/23/2009,0.1,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,5/23/2009,0.06,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,5/23/2009,0.15,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,5/30/2009,0.1,1 NENC,,
2 SENC,pct_ed_visits_influenza,5/30/2009,0.18,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,5/30/2009,0.1,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,5/30/2009,0.07,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,5/30/2009,0.06,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,5/30/2009,0.01,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,5/30/2009,0.05,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,6/6/2009,0.05,1 NENC,,
2 SENC,pct_ed_visits_influenza,6/6/2009,0.25,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,6/6/2009,0.09,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,6/6/2009,0.12,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,6/6/2009,0.08,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,6/6/2009,0.03,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,6/6/2009,0.04,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,6/13/2009,0.05,1 NENC,,
2 SENC,pct_ed_visits_influenza,6/13/2009,0.25,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,6/13/2009,0.16,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,6/13/2009,0.59,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,6/13/2009,0.17,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,6/13/2009,0.03,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,6/13/2009,0.04,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,6/20/2009,0.11,1 NENC,,
2 SENC,pct_ed_visits_influenza,6/20/2009,0.59,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,6/20/2009,0.23,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,6/20/2009,0.48,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,6/20/2009,0.23,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,6/20/2009,0.05,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,6/20/2009,0.11,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,6/27/2009,0.14,1 NENC,,
2 SENC,pct_ed_visits_influenza,6/27/2009,0.32,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,6/27/2009,0.32,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,6/27/2009,0.46,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,6/27/2009,0.37,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,6/27/2009,0.06,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,6/27/2009,0.11,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,7/4/2009,0.24,1 NENC,,
2 SENC,pct_ed_visits_influenza,7/4/2009,0.35,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,7/4/2009,0.29,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,7/4/2009,0.62,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,7/4/2009,0.55,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,7/4/2009,0.06,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,7/4/2009,0.08,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,7/11/2009,0.09,1 NENC,,
2 SENC,pct_ed_visits_influenza,7/11/2009,0.29,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,7/11/2009,0.4,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,7/11/2009,0.4,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,7/11/2009,0.46,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,7/11/2009,0.05,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,7/11/2009,0.08,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,7/18/2009,0.23,1 NENC,,
2 SENC,pct_ed_visits_influenza,7/18/2009,0.2,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,7/18/2009,0.49,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,7/18/2009,0.42,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,7/18/2009,0.29,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,7/18/2009,0.06,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,7/18/2009,0.1,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,7/25/2009,0.16,1 NENC,,
2 SENC,pct_ed_visits_influenza,7/25/2009,0.14,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,7/25/2009,0.56,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,7/25/2009,0.41,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,7/25/2009,0.32,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,7/25/2009,0.1,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,7/25/2009,0.12,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,8/1/2009,0.35,1 NENC,,
2 SENC,pct_ed_visits_influenza,8/1/2009,0.38,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,8/1/2009,0.83,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,8/1/2009,0.58,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,8/1/2009,0.31,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,8/1/2009,0.19,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,8/1/2009,0.08,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,8/8/2009,0.46,1 NENC,,
2 SENC,pct_ed_visits_influenza,8/8/2009,0.33,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,8/8/2009,0.72,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,8/8/2009,0.44,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,8/8/2009,0.3,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,8/8/2009,0.21,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,8/8/2009,0.15,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,8/15/2009,0.26,1 NENC,,
2 SENC,pct_ed_visits_influenza,8/15/2009,0.43,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,8/15/2009,0.83,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,8/15/2009,0.39,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,8/15/2009,0.4,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,8/15/2009,0.12,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,8/15/2009,0.19,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,8/22/2009,0.26,1 NENC,,
2 SENC,pct_ed_visits_influenza,8/22/2009,0.22,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,8/22/2009,0.4,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,8/22/2009,0.5,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,8/22/2009,0.34,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,8/22/2009,0.05,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,8/22/2009,0.16,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,8/29/2009,0.29,1 NENC,,
2 SENC,pct_ed_visits_influenza,8/29/2009,0.45,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,8/29/2009,0.63,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,8/29/2009,0.47,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,8/29/2009,0.79,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,8/29/2009,0.16,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,8/29/2009,0.15,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,9/5/2009,0.87,1 NENC,,
2 SENC,pct_ed_visits_influenza,9/5/2009,0.21,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,9/5/2009,1.36,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,9/5/2009,0.81,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,9/5/2009,0.88,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,9/5/2009,0.26,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,9/5/2009,0.46,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,9/12/2009,1.38,1 NENC,,
2 SENC,pct_ed_visits_influenza,9/12/2009,0.76,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,9/12/2009,2.35,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,9/12/2009,1.47,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,9/12/2009,1.54,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,9/12/2009,0.56,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,9/12/2009,0.93,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,9/19/2009,2.11,1 NENC,,
2 SENC,pct_ed_visits_influenza,9/19/2009,1.04,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,9/19/2009,3.39,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,9/19/2009,1.95,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,9/19/2009,1.9,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,9/19/2009,0.95,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,9/19/2009,1.37,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,9/26/2009,2.47,1 NENC,,
2 SENC,pct_ed_visits_influenza,9/26/2009,1.4,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,9/26/2009,4.27,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,9/26/2009,2.69,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,9/26/2009,2.51,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,9/26/2009,1.66,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,9/26/2009,2.24,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,10/3/2009,3.41,1 NENC,,
2 SENC,pct_ed_visits_influenza,10/3/2009,2.81,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,10/3/2009,4.32,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,10/3/2009,3.43,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,10/3/2009,4.04,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,10/3/2009,2.65,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,10/3/2009,3.01,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,10/10/2009,3.47,1 NENC,,
2 SENC,pct_ed_visits_influenza,10/10/2009,3.31,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,10/10/2009,4.43,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,10/10/2009,3.83,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,10/10/2009,4.88,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,10/10/2009,3.61,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,10/10/2009,3.46,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,10/17/2009,3.38,1 NENC,,
2 SENC,pct_ed_visits_influenza,10/17/2009,3.67,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,10/17/2009,3.68,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,10/17/2009,3.95,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,10/17/2009,4.84,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,10/17/2009,3.94,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,10/17/2009,3.31,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,10/24/2009,3.84,1 NENC,,
2 SENC,pct_ed_visits_influenza,10/24/2009,3.57,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,10/24/2009,4.13,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,10/24/2009,5.27,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,10/24/2009,4.68,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,10/24/2009,4.4,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,10/24/2009,3.63,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,10/31/2009,2.71,1 NENC,,
2 SENC,pct_ed_visits_influenza,10/31/2009,2.97,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,10/31/2009,3,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,10/31/2009,3.89,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,10/31/2009,3.81,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,10/31/2009,3.12,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,10/31/2009,2.88,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,11/7/2009,2.24,1 NENC,,
2 SENC,pct_ed_visits_influenza,11/7/2009,2.56,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,11/7/2009,1.98,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,11/7/2009,2.92,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,11/7/2009,2.77,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,11/7/2009,2.29,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,11/7/2009,2.48,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,11/14/2009,1.69,1 NENC,,
2 SENC,pct_ed_visits_influenza,11/14/2009,1.37,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,11/14/2009,1.66,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,11/14/2009,2.07,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,11/14/2009,1.9,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,11/14/2009,1.59,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,11/14/2009,1.64,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,11/21/2009,0.76,1 NENC,,
2 SENC,pct_ed_visits_influenza,11/21/2009,0.79,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,11/21/2009,1.19,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,11/21/2009,1.46,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,11/21/2009,1.53,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,11/21/2009,0.94,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,11/21/2009,1.17,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,11/28/2009,0.76,1 NENC,,
2 SENC,pct_ed_visits_influenza,11/28/2009,0.75,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,11/28/2009,0.76,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,11/28/2009,1.22,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,11/28/2009,0.8,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,11/28/2009,0.54,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,11/28/2009,0.79,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,12/5/2009,0.57,1 NENC,,
2 SENC,pct_ed_visits_influenza,12/5/2009,0.53,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,12/5/2009,0.63,3 FAY AREA,,
