"target_end_date","location","target","oracle_value"
2016-02-27,"Bronx","ILI ED visits",628
2016-02-27,"Brooklyn","ILI ED visits",745
2016-02-27,"Manhattan","ILI ED visits",440
2016-02-27,"NYC","ILI ED visits",2895
2016-02-27,"Queens","ILI ED visits",865
2016-02-27,"Staten Island","ILI ED visits",132
2016-02-27,"Unknown","ILI ED visits",85
2016-03-05,"Bronx","ILI ED visits",577
2016-03-05,"Brooklyn","ILI ED visits",831
2016-03-05,"Manhattan","ILI ED visits",477
2016-03-05,"NYC","ILI ED visits",3018
2016-03-05,"Queens","ILI ED visits",934
2016-03-05,"Staten Island","ILI ED visits",108
2016-03-05,"Unknown","ILI ED visits",91
2016-03-12,"Bronx","ILI ED visits",755
2016-03-12,"Brooklyn","ILI ED visits",946
2016-03-12,"Manhattan","ILI ED visits",464
2016-03-12,"NYC","ILI ED visits",3619
2016-03-12,"Queens","ILI ED visits",1187
2016-03-12,"Staten Island","ILI ED visits",143
2016-03-12,"Unknown","ILI ED visits",124
2016-03-19,"Bronx","ILI ED visits",614
2016-03-19,"Brooklyn","ILI ED visits",778
2016-03-19,"Manhattan","ILI ED visits",422
2016-03-19,"NYC","ILI ED visits",2927
2016-03-19,"Queens","ILI ED visits",925
2016-03-19,"Staten Island","ILI ED visits",112
2016-03-19,"Unknown","ILI ED visits",76
2016-03-26,"Bronx","ILI ED visits",514
2016-03-26,"Brooklyn","ILI ED visits",639
2016-03-26,"Manhattan","ILI ED visits",385
2016-03-26,"NYC","ILI ED visits",2545
2016-03-26,"Queens","ILI ED visits",810
2016-03-26,"Staten Island","ILI ED visits",116
2016-03-26,"Unknown","ILI ED visits",81
2016-04-02,"Bronx","ILI ED visits",461
2016-04-02,"Brooklyn","ILI ED visits",575
2016-04-02,"Manhattan","ILI ED visits",324
2016-04-02,"NYC","ILI ED visits",2176
2016-04-02,"Queens","ILI ED visits",643
2016-04-02,"Staten Island","ILI ED visits",118
2016-04-02,"Unknown","ILI ED visits",55
2016-04-09,"Bronx","ILI ED visits",421
2016-04-09,"Brooklyn","ILI ED visits",511
2016-04-09,"Manhattan","ILI ED visits",274
2016-04-09,"NYC","ILI ED visits",1742
2016-04-09,"Queens","ILI ED visits",397
2016-04-09,"Staten Island","ILI ED visits",102
2016-04-09,"Unknown","ILI ED visits",37
2016-04-16,"Bronx","ILI ED visits",431
2016-04-16,"Brooklyn","ILI ED visits",501
2016-04-16,"Manhattan","ILI ED visits",289
2016-04-16,"NYC","ILI ED visits",1770
2016-04-16,"Queens","ILI ED visits",385
2016-04-16,"Staten Island","ILI ED visits",111
2016-04-16,"Unknown","ILI ED visits",53
2016-04-23,"Bronx","ILI ED visits",410
2016-04-23,"Brooklyn","ILI ED visits",541
2016-04-23,"Manhattan","ILI ED visits",299
2016-04-23,"NYC","ILI ED visits",1823
2016-04-23,"Queens","ILI ED visits",427
2016-04-23,"Staten Island","ILI ED visits",104
2016-04-23,"Unknown","ILI ED visits",42
2016-04-30,"Bronx","ILI ED visits",342
2016-04-30,"Brooklyn","ILI ED visits",451
2016-04-30,"Manhattan","ILI ED visits",252
2016-04-30,"NYC","ILI ED visits",1494
2016-04-30,"Queens","ILI ED visits",337
2016-04-30,"Staten Island","ILI ED visits",65
2016-04-30,"Unknown","ILI ED visits",47
2016-05-07,"Bronx","ILI ED visits",280
2016-05-07,"Brooklyn","ILI ED visits",425
2016-05-07,"Manhattan","ILI ED visits",210
2016-05-07,"NYC","ILI ED visits",1293
2016-05-07,"Queens","ILI ED visits",272
2016-05-07,"Staten Island","ILI ED visits",60
2016-05-07,"Unknown","ILI ED visits",46
2016-05-14,"Bronx","ILI ED visits",271
2016-05-14,"Brooklyn","ILI ED visits",417
2016-05-14,"Manhattan","ILI ED visits",230
2016-05-14,"NYC","ILI ED visits",1302
2016-05-14,"Queens","ILI ED visits",292
2016-05-14,"Staten Island","ILI ED visits",61
2016-05-14,"Unknown","ILI ED visits",31
2016-05-21,"Bronx","ILI ED visits",288
2016-05-21,"Brooklyn","ILI ED visits",326
2016-05-21,"Manhattan","ILI ED visits",206
2016-05-21,"NYC","ILI ED visits",1199
2016-05-21,"Queens","ILI ED visits",285
2016-05-21,"Staten Island","ILI ED visits",59
2016-05-21,"Unknown","ILI ED visits",35
2016-05-28,"Bronx","ILI ED visits",285
2016-05-28,"Brooklyn","ILI ED visits",344
2016-05-28,"Manhattan","ILI ED visits",226
2016-05-28,"NYC","ILI ED visits",1280
2016-05-28,"Queens","ILI ED visits",334
2016-05-28,"Staten Island","ILI ED visits",49
2016-05-28,"Unknown","ILI ED visits",42
2016-06-04,"Bronx","ILI ED visits",236
2016-06-04,"Brooklyn","ILI ED visits",360
2016-06-04,"Manhattan","ILI ED visits",182
2016-06-04,"NYC","ILI ED visits",1174
2016-06-04,"Queens","ILI ED visits",296
2016-06-04,"Staten Island","ILI ED visits",64
2016-06-04,"Unknown","ILI ED visits",36
2016-06-11,"Bronx","ILI ED visits",236
2016-06-11,"Brooklyn","ILI ED visits",315
2016-06-11,"Manhattan","ILI ED visits",159
2016-06-11,"NYC","ILI ED visits",1054
2016-06-11,"Queens","ILI ED visits",261
2016-06-11,"Staten Island","ILI ED visits",50
2016-06-11,"Unknown","ILI ED visits",33
2016-06-18,"Bronx","ILI ED visits",206
2016-06-18,"Brooklyn","ILI ED visits",299
2016-06-18,"Manhattan","ILI ED visits",160
2016-06-18,"NYC","ILI ED visits",1070
2016-06-18,"Queens","ILI ED visits",334
2016-06-18,"Staten Island","ILI ED visits",37
2016-06-18,"Unknown","ILI ED visits",34
2016-06-25,"Bronx","ILI ED visits",194
2016-06-25,"Brooklyn","ILI ED visits",289
2016-06-25,"Manhattan","ILI ED visits",140
2016-06-25,"NYC","ILI ED visits",981
2016-06-25,"Queens","ILI ED visits",286
2016-06-25,"Staten Island","ILI ED visits",50
2016-06-25,"Unknown","ILI ED visits",22
2016-07-02,"Bronx","ILI ED visits",189
2016-07-02,"Brooklyn","ILI ED visits",325
2016-07-02,"Manhattan","ILI ED visits",105
2016-07-02,"NYC","ILI ED visits",990
2016-07-02,"Queens","ILI ED visits",278
2016-07-02,"Staten Island","ILI ED visits",48
2016-07-02,"Unknown","ILI ED visits",45
2016-07-09,"Bronx","ILI ED visits",194
2016-07-09,"Brooklyn","ILI ED visits",273
2016-07-09,"Manhattan","ILI ED visits",106
2016-07-09,"NYC","ILI ED visits",886
2016-07-09,"Queens","ILI ED visits",253
2016-07-09,"Staten Island","ILI ED visits",34
2016-07-09,"Unknown","ILI ED visits",26
2016-07-16,"Bronx","ILI ED visits",225
2016-07-16,"Brooklyn","ILI ED visits",255
2016-07-16,"Manhattan","ILI ED visits",93
2016-07-16,"NYC","ILI ED visits",851
2016-07-16,"Queens","ILI ED visits",209
2016-07-16,"Staten Island","ILI ED visits",42
2016-07-16,"Unknown","ILI ED visits",27
2016-07-23,"Bronx","ILI ED visits",214
2016-07-23,"Brooklyn","ILI ED visits",256
2016-07-23,"Manhattan","ILI ED visits",126
2016-07-23,"NYC","ILI ED visits",875
2016-07-23,"Queens","ILI ED visits",231
2016-07-23,"Staten Island","ILI ED visits",24
2016-07-23,"Unknown","ILI ED visits",24
2016-07-30,"Bronx","ILI ED visits",189
2016-07-30,"Brooklyn","ILI ED visits",270
2016-07-30,"Manhattan","ILI ED visits",125
2016-07-30,"NYC","ILI ED visits",852
2016-07-30,"Queens","ILI ED visits",204
2016-07-30,"Staten Island","ILI ED visits",32
2016-07-30,"Unknown","ILI ED visits",32
2016-08-06,"Bronx","ILI ED visits",201
2016-08-06,"Brooklyn","ILI ED visits",300
2016-08-06,"Manhattan","ILI ED visits",91
2016-08-06,"NYC","ILI ED visits",878
2016-08-06,"Queens","ILI ED visits",226
2016-08-06,"Staten Island","ILI ED visits",32
2016-08-06,"Unknown","ILI ED visits",28
2016-08-13,"Bronx","ILI ED visits",197
2016-08-13,"Brooklyn","ILI ED visits",235
2016-08-13,"Manhattan","ILI ED visits",143
2016-08-13,"NYC","ILI ED visits",847
2016-08-13,"Queens","ILI ED visits",218
2016-08-13,"Staten Island","ILI ED visits",31
2016-08-13,"Unknown","ILI ED visits",23
2016-08-20,"Bronx","ILI ED visits",201
2016-08-20,"Brooklyn","ILI ED visits",219
2016-08-20,"Manhattan","ILI ED visits",139
2016-08-20,"NYC","ILI ED visits",812
2016-08-20,"Queens","ILI ED visits",200
2016-08-20,"Staten Island","ILI ED visits",24
2016-08-20,"Unknown","ILI ED visits",29
2016-08-27,"Bronx","ILI ED visits",206
2016-08-27,"Brooklyn","ILI ED visits",270
2016-08-27,"Manhattan","ILI ED visits",142
2016-08-27,"NYC","ILI ED visits",892
2016-08-27,"Queens","ILI ED visits",210
2016-08-27,"Staten Island","ILI ED visits",40
2016-08-27,"Unknown","ILI ED visits",24
2016-09-03,"Bronx","ILI ED visits",184
2016-09-03,"Brooklyn","ILI ED visits",211
2016-09-03,"Manhattan","ILI ED visits",124
2016-09-03,"NYC","ILI ED visits",804
2016-09-03,"Queens","ILI ED visits",224
2016-09-03,"Staten Island","ILI ED visits",33
2016-09-03,"Unknown","ILI ED visits",28
2016-09-10,"Bronx","ILI ED visits",160
2016-09-10,"Brooklyn","ILI ED visits",217
2016-09-10,"Manhattan","ILI ED visits",137
2016-09-10,"NYC","ILI ED visits",741
2016-09-10,"Queens","ILI ED visits",178
2016-09-10,"Staten Island","ILI ED visits",30
2016-09-10,"Unknown","ILI ED visits",19
2016-09-17,"Bronx","ILI ED visits",168
2016-09-17,"Brooklyn","ILI ED visits",273
2016-09-17,"Manhattan","ILI ED visits",115
2016-09-17,"NYC","ILI ED visits",819
2016-09-17,"Queens","ILI ED visits",210
2016-09-17,"Staten Island","ILI ED visits",34
2016-09-17,"Unknown","ILI ED visits",19
2016-09-24,"Bronx","ILI ED visits",246
2016-09-24,"Brooklyn","ILI ED visits",356
2016-09-24,"Manhattan","ILI ED visits",171
2016-09-24,"NYC","ILI ED visits",1120
2016-09-24,"Queens","ILI ED visits",272
2016-09-24,"Staten Island","ILI ED visits",45
2016-09-24,"Unknown","ILI ED visits",30
2016-10-01,"Bronx","ILI ED visits",289
2016-10-01,"Brooklyn","ILI ED visits",395
2016-10-01,"Manhattan","ILI ED visits",164
2016-10-01,"NYC","ILI ED visits",1226
2016-10-01,"Queens","ILI ED visits",296
2016-10-01,"Staten Island","ILI ED visits",47
2016-10-01,"Unknown","ILI ED visits",35
2016-10-08,"Bronx","ILI ED visits",289
2016-10-08,"Brooklyn","ILI ED visits",418
2016-10-08,"Manhattan","ILI ED visits",165
2016-10-08,"NYC","ILI ED visits",1235
2016-10-08,"Queens","ILI ED visits",295
2016-10-08,"Staten Island","ILI ED visits",46
2016-10-08,"Unknown","ILI ED visits",22
2016-10-15,"Bronx","ILI ED visits",303
2016-10-15,"Brooklyn","ILI ED visits",371
2016-10-15,"Manhattan","ILI ED visits",176
2016-10-15,"NYC","ILI ED visits",1169
2016-10-15,"Queens","ILI ED visits",247
2016-10-15,"Staten Island","ILI ED visits",44
2016-10-15,"Unknown","ILI ED visits",28
2016-10-22,"Bronx","ILI ED visits",310
2016-10-22,"Brooklyn","ILI ED visits",419
2016-10-22,"Manhattan","ILI ED visits",206
2016-10-22,"NYC","ILI ED visits",1312
2016-10-22,"Queens","ILI ED visits",282
2016-10-22,"Staten Island","ILI ED visits",44
2016-10-22,"Unknown","ILI ED visits",51
2016-10-29,"Bronx","ILI ED visits",316
2016-10-29,"Brooklyn","ILI ED visits",398
2016-10-29,"Manhattan","ILI ED visits",156
2016-10-29,"NYC","ILI ED visits",1258
2016-10-29,"Queens","ILI ED visits",330
2016-10-29,"Staten Island","ILI ED visits",31
2016-10-29,"Unknown","ILI ED visits",27
2016-11-05,"Bronx","ILI ED visits",301
2016-11-05,"Brooklyn","ILI ED visits",499
2016-11-05,"Manhattan","ILI ED visits",204
2016-11-05,"NYC","ILI ED visits",1518
2016-11-05,"Queens","ILI ED visits",422
2016-11-05,"Staten Island","ILI ED visits",65
2016-11-05,"Unknown","ILI ED visits",27
2016-11-12,"Bronx","ILI ED visits",384
2016-11-12,"Brooklyn","ILI ED visits",489
2016-11-12,"Manhattan","ILI ED visits",212
2016-11-12,"NYC","ILI ED visits",1640
2016-11-12,"Queens","ILI ED visits",449
2016-11-12,"Staten Island","ILI ED visits",56
2016-11-12,"Unknown","ILI ED visits",50
2016-11-19,"Bronx","ILI ED visits",351
2016-11-19,"Brooklyn","ILI ED visits",501
2016-11-19,"Manhattan","ILI ED visits",204
2016-11-19,"NYC","ILI ED visits",1702
2016-11-19,"Queens","ILI ED visits",532
2016-11-19,"Staten Island","ILI ED visits",57
2016-11-19,"Unknown","ILI ED visits",57
2016-11-26,"Bronx","ILI ED visits",397
2016-11-26,"Brooklyn","ILI ED visits",511
2016-11-26,"Manhattan","ILI ED visits",242
2016-11-26,"NYC","ILI ED visits",1793
2016-11-26,"Queens","ILI ED visits",554
2016-11-26,"Staten Island","ILI ED visits",54
2016-11-26,"Unknown","ILI ED visits",35
2016-12-03,"Bronx","ILI ED visits",446
2016-12-03,"Brooklyn","ILI ED visits",677
2016-12-03,"Manhattan","ILI ED visits",247
2016-12-03,"NYC","ILI ED visits",2083
2016-12-03,"Queens","ILI ED visits",589
2016-12-03,"Staten Island","ILI ED visits",65
2016-12-03,"Unknown","ILI ED visits",59
2016-12-10,"Bronx","ILI ED visits",524
2016-12-10,"Brooklyn","ILI ED visits",707
2016-12-10,"Manhattan","ILI ED visits",287
2016-12-10,"NYC","ILI ED visits",2252
2016-12-10,"Queens","ILI ED visits",593
2016-12-10,"Staten Island","ILI ED visits",80
2016-12-10,"Unknown","ILI ED visits",61
2016-12-17,"Bronx","ILI ED visits",469
2016-12-17,"Brooklyn","ILI ED visits",780
2016-12-17,"Manhattan","ILI ED visits",329
2016-12-17,"NYC","ILI ED visits",2412
2016-12-17,"Queens","ILI ED visits",690
2016-12-17,"Staten Island","ILI ED visits",88
2016-12-17,"Unknown","ILI ED visits",56
2016-12-24,"Bronx","ILI ED visits",602
2016-12-24,"Brooklyn","ILI ED visits",978
2016-12-24,"Manhattan","ILI ED visits",416
2016-12-24,"NYC","ILI ED visits",3127
2016-12-24,"Queens","ILI ED visits",922
2016-12-24,"Staten Island","ILI ED visits",133
2016-12-24,"Unknown","ILI ED visits",76
2016-12-31,"Bronx","ILI ED visits",874
2016-12-31,"Brooklyn","ILI ED visits",1301
2016-12-31,"Manhattan","ILI ED visits",501
2016-12-31,"NYC","ILI ED visits",4344
2016-12-31,"Queens","ILI ED visits",1316
2016-12-31,"Staten Island","ILI ED visits",197
2016-12-31,"Unknown","ILI ED visits",155
2017-01-07,"Bronx","ILI ED visits",709
2017-01-07,"Brooklyn","ILI ED visits",960
2017-01-07,"Manhattan","ILI ED visits",427
2017-01-07,"NYC","ILI ED visits",3261
2017-01-07,"Queens","ILI ED visits",912
2017-01-07,"Staten Island","ILI ED visits",140
2017-01-07,"Unknown","ILI ED visits",113
2017-01-14,"Bronx","ILI ED visits",673
2017-01-14,"Brooklyn","ILI ED visits",897
2017-01-14,"Manhattan","ILI ED visits",459
2017-01-14,"NYC","ILI ED visits",3106
2017-01-14,"Queens","ILI ED visits",856
2017-01-14,"Staten Island","ILI ED visits",136
2017-01-14,"Unknown","ILI ED visits",85
2017-01-21,"Bronx","ILI ED visits",870
2017-01-21,"Brooklyn","ILI ED visits",1017
2017-01-21,"Manhattan","ILI ED visits",480
2017-01-21,"NYC","ILI ED visits",3633
2017-01-21,"Queens","ILI ED visits",1025
2017-01-21,"Staten Island","ILI ED visits",134
2017-01-21,"Unknown","ILI ED visits",107
2017-01-28,"Bronx","ILI ED visits",827
2017-01-28,"Brooklyn","ILI ED visits",901
2017-01-28,"Manhattan","ILI ED visits",454
2017-01-28,"NYC","ILI ED visits",3235
2017-01-28,"Queens","ILI ED visits",859
2017-01-28,"Staten Island","ILI ED visits",107
2017-01-28,"Unknown","ILI ED visits",87
2017-02-04,"Bronx","ILI ED visits",683
2017-02-04,"Brooklyn","ILI ED visits",943
2017-02-04,"Manhattan","ILI ED visits",448
2017-02-04,"NYC","ILI ED visits",3090
2017-02-04,"Queens","ILI ED visits",837
2017-02-04,"Staten Island","ILI ED visits",90
2017-02-04,"Unknown","ILI ED visits",89
2017-02-11,"Bronx","ILI ED visits",597
2017-02-11,"Brooklyn","ILI ED visits",830
2017-02-11,"Manhattan","ILI ED visits",430
2017-02-11,"NYC","ILI ED visits",2909
2017-02-11,"Queens","ILI ED visits",873
2017-02-11,"Staten Island","ILI ED visits",86
2017-02-11,"Unknown","ILI ED visits",93
2017-02-18,"Bronx","ILI ED visits",462
2017-02-18,"Brooklyn","ILI ED visits",737
2017-02-18,"Manhattan","ILI ED visits",357
2017-02-18,"NYC","ILI ED visits",2381
2017-02-18,"Queens","ILI ED visits",681
2017-02-18,"Staten Island","ILI ED visits",91
2017-02-18,"Unknown","ILI ED visits",53
2017-02-25,"Bronx","ILI ED visits",423
2017-02-25,"Brooklyn","ILI ED visits",702
2017-02-25,"Manhattan","ILI ED visits",289
2017-02-25,"NYC","ILI ED visits",2165
2017-02-25,"Queens","ILI ED visits",588
2017-02-25,"Staten Island","ILI ED visits",87
2017-02-25,"Unknown","ILI ED visits",76
2017-03-04,"Bronx","ILI ED visits",303
2017-03-04,"Brooklyn","ILI ED visits",515
2017-03-04,"Manhattan","ILI ED visits",211
2017-03-04,"NYC","ILI ED visits",1619
2017-03-04,"Queens","ILI ED visits",484
2017-03-04,"Staten Island","ILI ED visits",69
2017-03-04,"Unknown","ILI ED visits",37
2017-03-11,"Bronx","ILI ED visits",292
2017-03-11,"Brooklyn","ILI ED visits",422
2017-03-11,"Manhattan","ILI ED visits",206
2017-03-11,"NYC","ILI ED visits",1452
2017-03-11,"Queens","ILI ED visits",431
2017-03-11,"Staten Island","ILI ED visits",55
2017-03-11,"Unknown","ILI ED visits",46
2017-03-18,"Bronx","ILI ED visits",290
2017-03-18,"Brooklyn","ILI ED visits",491
2017-03-18,"Manhattan","ILI ED visits",187
2017-03-18,"NYC","ILI ED visits",1525
2017-03-18,"Queens","ILI ED visits",453
2017-03-18,"Staten Island","ILI ED visits",65
2017-03-18,"Unknown","ILI ED visits",39
2017-03-25,"Bronx","ILI ED visits",318
2017-03-25,"Brooklyn","ILI ED visits",497
2017-03-25,"Manhattan","ILI ED visits",248
2017-03-25,"NYC","ILI ED visits",1711
2017-03-25,"Queens","ILI ED visits",533
2017-03-25,"Staten Island","ILI ED visits",67
2017-03-25,"Unknown","ILI ED visits",48
2017-04-01,"Bronx","ILI ED visits",394
2017-04-01,"Brooklyn","ILI ED visits",636
2017-04-01,"Manhattan","ILI ED visits",271
2017-04-01,"NYC","ILI ED visits",2046
2017-04-01,"Queens","ILI ED visits",599
2017-04-01,"Staten Island","ILI ED visits",93
2017-04-01,"Unknown","ILI ED visits",53
2017-04-08,"Bronx","ILI ED visits",354
2017-04-08,"Brooklyn","ILI ED visits",640
2017-04-08,"Manhattan","ILI ED visits",265
2017-04-08,"NYC","ILI ED visits",2045
2017-04-08,"Queens","ILI ED visits",653
2017-04-08,"Staten Island","ILI ED visits",78
2017-04-08,"Unknown","ILI ED visits",55
2017-04-15,"Bronx","ILI ED visits",344
2017-04-15,"Brooklyn","ILI ED visits",520
2017-04-15,"Manhattan","ILI ED visits",199
2017-04-15,"NYC","ILI ED visits",1808
2017-04-15,"Queens","ILI ED visits",592
2017-04-15,"Staten Island","ILI ED visits",86
2017-04-15,"Unknown","ILI ED visits",67
2017-04-22,"Bronx","ILI ED visits",284
2017-04-22,"Brooklyn","ILI ED visits",426
2017-04-22,"Manhattan","ILI ED visits",205
2017-04-22,"NYC","ILI ED visits",1467
2017-04-22,"Queens","ILI ED visits",449
2017-04-22,"Staten Island","ILI ED visits",57
2017-04-22,"Unknown","ILI ED visits",46
2017-04-29,"Bronx","ILI ED visits",244
2017-04-29,"Brooklyn","ILI ED visits",356
2017-04-29,"Manhattan","ILI ED visits",185
2017-04-29,"NYC","ILI ED visits",1266
2017-04-29,"Queens","ILI ED visits",384
2017-04-29,"Staten Island","ILI ED visits",54
2017-04-29,"Unknown","ILI ED visits",43
2017-05-06,"Bronx","ILI ED visits",242
2017-05-06,"Brooklyn","ILI ED visits",377
2017-05-06,"Manhattan","ILI ED visits",169
2017-05-06,"NYC","ILI ED visits",1254
2017-05-06,"Queens","ILI ED visits",388
2017-05-06,"Staten Island","ILI ED visits",34
2017-05-06,"Unknown","ILI ED visits",44
2017-05-13,"Bronx","ILI ED visits",321
2017-05-13,"Brooklyn","ILI ED visits",390
2017-05-13,"Manhattan","ILI ED visits",195
2017-05-13,"NYC","ILI ED visits",1383
2017-05-13,"Queens","ILI ED visits",393
2017-05-13,"Staten Island","ILI ED visits",42
2017-05-13,"Unknown","ILI ED visits",42
2017-05-20,"Bronx","ILI ED visits",302
2017-05-20,"Brooklyn","ILI ED visits",406
2017-05-20,"Manhattan","ILI ED visits",189
2017-05-20,"NYC","ILI ED visits",1447
2017-05-20,"Queens","ILI ED visits",462
2017-05-20,"Staten Island","ILI ED visits",49
2017-05-20,"Unknown","ILI ED visits",39
2017-05-27,"Bronx","ILI ED visits",270
2017-05-27,"Brooklyn","ILI ED visits",334
2017-05-27,"Manhattan","ILI ED visits",150
2017-05-27,"NYC","ILI ED visits",1209
2017-05-27,"Queens","ILI ED visits",390
2017-05-27,"Staten Island","ILI ED visits",41
2017-05-27,"Unknown","ILI ED visits",24
2017-06-03,"Bronx","ILI ED visits",254
2017-06-03,"Brooklyn","ILI ED visits",347
2017-06-03,"Manhattan","ILI ED visits",162
2017-06-03,"NYC","ILI ED visits",1266
2017-06-03,"Queens","ILI ED visits",418
2017-06-03,"Staten Island","ILI ED visits",46
2017-06-03,"Unknown","ILI ED visits",39
2017-06-10,"Bronx","ILI ED visits",278
2017-06-10,"Brooklyn","ILI ED visits",325
2017-06-10,"Manhattan","ILI ED visits",160
2017-06-10,"NYC","ILI ED visits",1181
2017-06-10,"Queens","ILI ED visits",340
2017-06-10,"Staten Island","ILI ED visits",33
2017-06-10,"Unknown","ILI ED visits",45
2017-06-17,"Bronx","ILI ED visits",244
2017-06-17,"Brooklyn","ILI ED visits",331
2017-06-17,"Manhattan","ILI ED visits",127
2017-06-17,"NYC","ILI ED visits",1135
2017-06-17,"Queens","ILI ED visits",365
2017-06-17,"Staten Island","ILI ED visits",41
2017-06-17,"Unknown","ILI ED visits",27
2017-06-24,"Bronx","ILI ED visits",215
2017-06-24,"Brooklyn","ILI ED visits",259
2017-06-24,"Manhattan","ILI ED visits",135
2017-06-24,"NYC","ILI ED visits",1013
2017-06-24,"Queens","ILI ED visits",345
2017-06-24,"Staten Island","ILI ED visits",25
2017-06-24,"Unknown","ILI ED visits",34
2017-07-01,"Bronx","ILI ED visits",235
2017-07-01,"Brooklyn","ILI ED visits",273
2017-07-01,"Manhattan","ILI ED visits",143
2017-07-01,"NYC","ILI ED visits",1080
2017-07-01,"Queens","ILI ED visits",370
2017-07-01,"Staten Island","ILI ED visits",29
2017-07-01,"Unknown","ILI ED visits",30
2017-07-08,"Bronx","ILI ED visits",206
2017-07-08,"Brooklyn","ILI ED visits",271
2017-07-08,"Manhattan","ILI ED visits",112
2017-07-08,"NYC","ILI ED visits",1034
2017-07-08,"Queens","ILI ED visits",389
2017-07-08,"Staten Island","ILI ED visits",28
2017-07-08,"Unknown","ILI ED visits",28
2017-07-15,"Bronx","ILI ED visits",161
2017-07-15,"Brooklyn","ILI ED visits",247
2017-07-15,"Manhattan","ILI ED visits",100
2017-07-15,"NYC","ILI ED visits",932
2017-07-15,"Queens","ILI ED visits",364
2017-07-15,"Staten Island","ILI ED visits",29
2017-07-15,"Unknown","ILI ED visits",31
2017-07-22,"Bronx","ILI ED visits",147
2017-07-22,"Brooklyn","ILI ED visits",234
2017-07-22,"Manhattan","ILI ED visits",86
2017-07-22,"NYC","ILI ED visits",833
2017-07-22,"Queens","ILI ED visits",298
2017-07-22,"Staten Island","ILI ED visits",27
2017-07-22,"Unknown","ILI ED visits",41
2017-07-29,"Bronx","ILI ED visits",159
2017-07-29,"Brooklyn","ILI ED visits",255
2017-07-29,"Manhattan","ILI ED visits",106
2017-07-29,"NYC","ILI ED visits",864
2017-07-29,"Queens","ILI ED visits",295
2017-07-29,"Staten Island","ILI ED visits",25
2017-07-29,"Unknown","ILI ED visits",24
2017-08-05,"Bronx","ILI ED visits",157
2017-08-05,"Brooklyn","ILI ED visits",224
2017-08-05,"Manhattan","ILI ED visits",99
2017-08-05,"NYC","ILI ED visits",817
2017-08-05,"Queens","ILI ED visits",282
2017-08-05,"Staten Island","ILI ED visits",31
2017-08-05,"Unknown","ILI ED visits",24
2017-08-12,"Bronx","ILI ED visits",147
2017-08-12,"Brooklyn","ILI ED visits",251
2017-08-12,"Manhattan","ILI ED visits",114
2017-08-12,"NYC","ILI ED visits",865
2017-08-12,"Queens","ILI ED visits",291
2017-08-12,"Staten Island","ILI ED visits",22
2017-08-12,"Unknown","ILI ED visits",40
2017-08-19,"Bronx","ILI ED visits",149
